USAState|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|ActiveCases||Sys Date|Last updated
1|New York|5711|344|38|4|1|5672||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
2|Washington|1376|NA|74|NA|102|1200||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
3|California|1047|38|19|NA|6|1022||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
4|New Jersey|742|NA|9|NA|NA|733||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
5|Florida|432|15|9|NA|NA|423||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
6|Illinois|422|NA|4|NA|2|416||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
7|Louisiana|392|NA|10|NA|NA|382||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
8|Michigan|336|NA|3|NA|NA|333||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
9|Massachusetts|328|NA|NA|NA|1|327||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
10|Texas|320|36|5|NA|NA|315||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
11|Georgia|287|NA|10|NA|NA|277||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
12|Colorado|278|NA|4|NA|NA|274||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
13|Pennsylvania|207|NA|1|NA|NA|206||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
14|Wisconsin|160|1|2|2|1|157||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
15|Connecticut|159|NA|3|1|NA|156||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
16|Tennessee|154|NA|NA|NA|NA|154||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
17|North Carolina|138|14|NA|NA|NA|138||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
18|Ohio|120|1|1|1|NA|119||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
19|Maryland|107|NA|1|NA|4|102||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
20|Virginia|105|6|2|NA|1|102||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
21|Nevada|95|NA|1|NA|NA|94||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
22|Minnesota|91|NA|NA|NA|NA|91||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
23|Oregon|88|NA|3|NA|NA|85||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
24|South Carolina|81|NA|3|NA|NA|78||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
25|Utah|80|NA|NA|NA|NA|80||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
26|Alabama|78|NA|NA|NA|NA|78||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
27|District of Columbia|71|31|3|NA|NA|68||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
28|Arkansas|62|NA|NA|NA|NA|62||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
29|Indiana|60|NA|2|NA|NA|58||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
30|Maine|52|NA|NA|NA|NA|52||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
31|Mississippi|51|NA|1|NA|NA|50||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
32|Kentucky|50|13|2|NA|2|46||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
33|Iowa|50|NA|NA|NA|NA|50||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
34|Oklahoma|46|NA|1|NA|1|44||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
35|Arizona|45|NA|NA|NA|1|44||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
36|New Hampshire|44|NA|NA|NA|NA|44||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
37|Rhode Island|44|NA|NA|NA|NA|44||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
38|Missouri|39|8|1|NA|NA|38||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
39|Kansas|38|2|1|NA|NA|37||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
40|New Mexico|35|NA|NA|NA|NA|35||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
41|Delaware|31|NA|NA|NA|NA|31||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
42|Nebraska|29|NA|NA|NA|NA|29||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
43|Hawaii|26|4|NA|NA|NA|26||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
44|Idaho|23|NA|NA|NA|NA|23||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
45|Vermont|22|NA|2|2|NA|20||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
46|North Dakota|19|1|NA|NA|NA|19||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
47|Wyoming|18|NA|NA|NA|NA|18||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
48|Montana|15|3|NA|NA|NA|15||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
49|South Dakota|14|3|1|NA|NA|13||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
50|Alaska|12|3|NA|NA|NA|12||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
51|West Virginia|5|3|NA|NA|NA|5||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
52|Total:|14316|526|218|10|121|13977||2020-03-19 22:50:22|March 20, 2020, 02:40 GMT
1|New York|5712|345|38|4|NA|5674||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
2|Washington|1377|1|74|NA|102|1201||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
3|California|1060|51|19|NA|6|1035||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
4|New Jersey|742|NA|9|NA|NA|733||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
5|Florida|432|15|9|NA|NA|423||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
6|Illinois|423|1|4|NA|2|417||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
7|Louisiana|392|NA|10|NA|NA|382||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
8|Michigan|336|NA|3|NA|NA|333||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
9|Massachusetts|328|NA|NA|NA|1|327||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
10|Texas|325|41|5|NA|4|316||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
11|Georgia|288|1|10|NA|NA|278||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
12|Colorado|277|NA|4|NA|NA|273||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
13|Pennsylvania|207|NA|1|NA|NA|206||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
14|Wisconsin|160|1|2|2|1|157||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
15|Connecticut|159|NA|3|1|NA|156||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
16|Tennessee|155|1|NA|NA|NA|155||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
17|North Carolina|139|15|NA|NA|NA|139||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
18|Ohio|120|1|1|1|NA|119||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
19|Maryland|107|NA|1|NA|4|102||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
20|Virginia|104|5|2|NA|1|101||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
21|Nevada|95|NA|1|NA|NA|94||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
22|Minnesota|91|NA|NA|NA|NA|91||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
23|Oregon|88|NA|3|NA|NA|85||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
24|South Carolina|81|NA|3|NA|NA|78||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
25|Utah|79|NA|NA|NA|NA|79||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
26|Alabama|78|NA|NA|NA|NA|78||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
27|District of Columbia|71|31|3|NA|NA|68||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
28|Arkansas|62|NA|NA|NA|NA|62||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
29|Indiana|61|1|2|NA|NA|59||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
30|Arizona|53|8|NA|NA|1|52||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
31|Mississippi|52|1|1|NA|NA|51||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
32|Maine|52|NA|NA|NA|NA|52||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
33|Kentucky|50|13|2|NA|2|46||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
34|Oklahoma|46|NA|1|NA|1|44||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
35|Iowa|44|NA|NA|NA|NA|44||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
36|New Hampshire|44|NA|NA|NA|NA|44||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
37|Rhode Island|44|NA|NA|NA|NA|44||2020-03-20 08:33:43|March 20, 2020, 12:32 GMT
